Average hours per weekday spent by high school students in various activities

					   Average hours per day

					Employed	Not employed					

Educational				5.5		6.5
Work and related			1.5		 ~0
Sleeping				8.6		8.9
Socializing, relaxing, and leisure	3.1		3.6
Sports, exercise, and recreation	0.6		0.8
Religious, spiritual, and volunteer	0.2		0.2

~0 Estimate is approximately zero.
NOTE: Data include persons ages 15 to 19 who were enrolled in high school. 
Data include non-holiday weekdays during the months of Jan.- May and Sept. - Dec., 
and are averages for 2011-15. 

SOURCE: Bureau of Labor Statistics, American Time Use Survey

















